clubName,division,gkStrength,gkGloves,row,col,attribute,strength
Red Squirrels,Division 1,3,2,0,0,defensive,3
Red Squirrels,Division 1,3,2,0,1,offensive,3
Red Squirrels,Division 1,3,2,0,1,offensive,3
Red Squirrels,Division 1,3,2,0,2,defensive,3
Red Squirrels,Division 1,3,2,1,0,defensive,4
Red Squirrels,Division 1,3,2,1,1,defensive,1
Red Squirrels,Division 1,3,2,1,2,defensive,2
Red Squirrels,Division 1,3,2,2,0,offensive,4
Red Squirrels,Division 1,3,2,2,1,offensive,1
Red Squirrels,Division 1,3,2,2,2,offensive,1
